signal_set,signal_set_description,run_name,description,wrapper_config_path,suite_run_dir,runtime_seconds,error,experiment_id,experiment_display_name,cv_strategy,model,model_display,summary_model_name,status,accuracy,balanced_accuracy,macro_f1,weighted_f1,auc,loss
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_all_signals, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/all_signals/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,2921.527,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,Naključni,Random,success,0.5086666301040107,0.5085280657142158,0.507208745681868,0.5097752892977953,0.5085280657142159,17.70944968303792
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_all_signals, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/all_signals/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,2921.527,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Večinski,Majority,success,0.5215136174953522,0.5,0.3422174448163131,0.3585923453580781,0.5,17.24639732241005
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_all_signals, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/all_signals/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,2921.527,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,SVM,SVM,SVM,success,0.6855416897221992,0.6827138395252598,0.6760563784480496,0.6787599319734064,0.7615164925277641,0.6001140159736701
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_all_signals, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/all_signals/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,2921.527,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,LightGBM,success,0.6901982363059979,0.6900329984485715,0.6825720190233763,0.6844928480839255,0.7755986799022114,0.5858101890096012
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_all_signals, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/all_signals/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,2921.527,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MLP,MLP,MLP,success,0.6724547757216088,0.6710562465944998,0.6621669141459762,0.664505792144367,0.7536582617896096,0.6900601647047315
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_all_signals, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/all_signals/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,2921.527,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MOMENT_GazeMAE_all_signals,MOMENTxGazeMAE,MOMENT_GazeMAE_all_signals,success,0.6612415413722434,0.6628378235163828,0.6564519964549824,0.6581057933298297,0.721739161747749,0.7420538021296561
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_all_signals, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/all_signals/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,2921.527,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,GCN,BasicGCN,success,0.5958178480186873,0.5930015104607167,0.5763765034323762,0.5793512234090352,0.6566205467964739,0.6729038258393606
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_all_signals, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/all_signals/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,2921.527,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMean,HeteroGCN-mean,HeteroGCNMean,success,0.6180137719908164,0.6127922144973328,0.5969238903053427,0.6008271679267789,0.6959516254934537,0.675074414128349
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_all_signals, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/all_signals/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,2921.527,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCN-MLP,HeteroGCNMLP,success,0.6053982737051512,0.5987384448605765,0.5655355188884175,0.5705982167387988,0.6901559401416393,0.691810782466616
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_all_signals, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/all_signals/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,2921.527,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLPWeights,HeteroGCN-MLP-w,HeteroGCNMLPWeights,success,0.627436866151065,0.6234397238206267,0.6084123468578333,0.6116553424092773,0.7022805406755798,0.6843751555397396
